Deposited,Collected
41112,41000
197955,195903
56597,56221
170032,169567
98807,98728
74792,74429
21943,21768
150677,149991
292515,291566
227060,226184
270192,268196
60374,60235
107485,106789
161466,160847
484529,479974
218395,217488
113811,112569
137509,134805
29283,29239
246991,243940
280342,279467
163561,162386
740031,736416
20188,20111
36443,36213
81183,80827
276347,275134
189676,188986
226257,225634
349030,340933
201511,200754
290755,288785
75698,75288
186490,183189
31858,31781
55887,55782
176111,174847
228522,227957
298214,294565
317882,317038
444665,436951
89519,89230
512666,511506
232890,232317
117867,117435
142620,141887
243856,243022
100008,97499
151747,150106
659537,656615
67167,66940
46099,45970
154279,153928
38717,38269
438604,436937
23667,23591
274320,266469
157031,156356
32516,32452
139185,138712
99549,99234
287706,286859
215845,214566
19803,19706
275415,272577
199656,198417
20846,20819
446406,440557
141134,140699
309908,309321
240730,239693
591934,590143
150103,149528
271933,271076
142314,141250
365512,363279
117547,117358
212578,212190
